week_id,week_start_date,week_end_date,iso_year,iso_week
1,2024-08-12,2024-08-18,2024,33
2,2024-08-19,2024-08-25,2024,34
3,2024-08-26,2024-09-01,2024,35
4,2024-09-02,2024-09-08,2024,36
5,2024-09-09,2024-09-15,2024,37
6,2024-09-16,2024-09-22,2024,38
7,2024-09-23,2024-09-29,2024,39
8,2024-09-30,2024-10-06,2024,40
9,2024-10-07,2024-10-13,2024,41
10,2024-10-14,2024-10-20,2024,42
11,2024-10-21,2024-10-27,2024,43
12,2024-10-28,2024-11-03,2024,44
13,2024-11-04,2024-11-10,2024,45
14,2024-11-11,2024-11-17,2024,46
15,2024-11-18,2024-11-24,2024,47
16,2024-11-25,2024-12-01,2024,48
17,2024-12-02,2024-12-08,2024,49
18,2024-12-09,2024-12-15,2024,50
19,2024-12-16,2024-12-22,2024,51
20,2024-12-23,2024-12-29,2024,52
21,2024-12-30,2025-01-05,2024,1
22,2025-01-06,2025-01-12,2025,2
23,2025-01-13,2025-01-19,2025,3
24,2025-01-20,2025-01-26,2025,4
25,2025-01-27,2025-02-02,2025,5
26,2025-02-03,2025-02-09,2025,6
27,2025-02-10,2025-02-16,2025,7
28,2025-02-17,2025-02-23,2025,8
29,2025-02-24,2025-03-02,2025,9
30,2025-03-03,2025-03-09,2025,10
31,2025-03-10,2025-03-16,2025,11
32,2025-03-17,2025-03-23,2025,12
33,2025-03-24,2025-03-30,2025,13
34,2025-03-31,2025-04-06,2025,14
35,2025-04-07,2025-04-13,2025,15
36,2025-04-14,2025-04-20,2025,16
37,2025-04-21,2025-04-27,2025,17
38,2025-04-28,2025-05-04,2025,18
39,2025-05-05,2025-05-11,2025,19
40,2025-05-12,2025-05-18,2025,20
41,2025-05-19,2025-05-25,2025,21
42,2025-05-26,2025-06-01,2025,22
43,2025-06-02,2025-06-08,2025,23
44,2025-06-09,2025-06-15,2025,24
45,2025-06-16,2025-06-22,2025,25
46,2025-06-23,2025-06-29,2025,26
47,2025-06-30,2025-07-06,2025,27
48,2025-07-07,2025-07-13,2025,28
49,2025-07-14,2025-07-20,2025,29
50,2025-07-21,2025-07-27,2025,30
51,2025-07-28,2025-08-03,2025,31
52,2025-08-04,2025-08-10,2025,32
53,2025-08-11,2025-08-17,2025,33
54,2025-08-18,2025-08-24,2025,34
55,2025-08-25,2025-08-31,2025,35
56,2025-09-01,2025-09-07,2025,36
57,2025-09-08,2025-09-14,2025,37
58,2025-09-15,2025-09-21,2025,38
59,2025-09-22,2025-09-28,2025,39
60,2025-09-29,2025-10-05,2025,40
61,2025-10-06,2025-10-12,2025,41
62,2025-10-13,2025-10-19,2025,42
63,2025-10-20,2025-10-26,2025,43
64,2025-10-27,2025-11-02,2025,44
65,2025-11-03,2025-11-09,2025,45
66,2025-11-10,2025-11-16,2025,46
67,2025-11-17,2025-11-23,2025,47
68,2025-11-24,2025-11-30,2025,48
69,2025-12-01,2025-12-07,2025,49
70,2025-12-08,2025-12-14,2025,50
71,2025-12-15,2025-12-21,2025,51
72,2025-12-22,2025-12-28,2025,52
73,2025-12-29,2026-01-04,2025,1
74,2026-01-05,2026-01-11,2026,2
75,2026-01-12,2026-01-18,2026,3
76,2026-01-19,2026-01-25,2026,4
77,2026-01-26,2026-02-01,2026,5
78,2026-02-02,2026-02-08,2026,6
79,2026-02-09,2026-02-15,2026,7
80,2026-02-16,2026-02-22,2026,8
81,2026-02-23,2026-03-01,2026,9
82,2026-03-02,2026-03-08,2026,10
83,2026-03-09,2026-03-15,2026,11
84,2026-03-16,2026-03-22,2026,12
85,2026-03-23,2026-03-29,2026,13
86,2026-03-30,2026-04-05,2026,14
87,2026-04-06,2026-04-12,2026,15
88,2026-04-13,2026-04-19,2026,16
89,2026-04-20,2026-04-26,2026,17
90,2026-04-27,2026-05-03,2026,18
91,2026-05-04,2026-05-10,2026,19
92,2026-05-11,2026-05-17,2026,20
93,2026-05-18,2026-05-24,2026,21
94,2026-05-25,2026-05-31,2026,22
95,2026-06-01,2026-06-07,2026,23
96,2026-06-08,2026-06-14,2026,24
97,2026-06-15,2026-06-21,2026,25
98,2026-06-22,2026-06-28,2026,26
99,2026-06-29,2026-07-05,2026,27
100,2026-07-06,2026-07-12,2026,28
101,2026-07-13,2026-07-19,2026,29
102,2026-07-20,2026-07-26,2026,30
103,2026-07-27,2026-08-02,2026,31
104,2026-08-03,2026-08-09,2026,32
