campaign_id,week_id,spend,impressions,clicks,conversions
2,19,130.85,31647,2314,139
2,20,130.85,63461,2324,284
2,21,130.85,28342,1824,272
2,22,130.85,136442,1972,87
2,23,130.85,151371,3762,84
2,24,130.85,84936,3134,180
2,25,130.85,54204,3874,12
11,14,209.91,153112,2265,113
11,15,209.91,159296,3172,123
11,16,209.91,27801,3004,117
11,17,209.91,111289,3954,56
11,18,209.91,183531,406,164
11,19,209.91,174491,524,254
11,20,209.91,138362,3967,226
14,15,154.14,28064,3310,230
14,16,154.14,21005,1132,49
14,17,154.14,142679,1514,184
14,18,154.14,190124,356,112
14,19,154.14,152862,4021,173
14,20,154.14,87366,2627,278
14,21,154.14,68017,1177,131
19,54,293.28,106430,3193,95
19,55,293.28,107679,2343,70
19,56,293.28,29922,2438,194
19,57,293.28,152818,3495,276
19,58,293.28,106503,2917,291
19,59,293.28,98053,3833,77
21,16,250.42,28717,2479,216
21,17,250.42,67096,740,272
21,18,250.42,39220,2902,22
21,19,250.42,161873,4187,190
21,20,250.42,26320,802,199
21,21,250.42,193471,652,207
21,22,250.42,67088,1815,75
25,57,198.04,110819,3978,67
25,58,198.04,174338,812,62
25,59,198.04,180603,243,118
25,60,198.04,183477,3566,150
25,61,198.04,111764,3210,74
25,62,198.04,165839,3956,84
28,83,286.03,55628,345,181
28,84,286.03,186675,2943,200
28,85,286.03,119199,1507,299
28,86,286.03,47751,3084,47
28,87,286.03,98551,2327,109
28,88,286.03,58383,1951,170
33,5,398.24,74121,212,39
33,6,398.24,136631,4021,255
33,7,398.24,196902,2634,33
33,8,398.24,199836,4012,235
33,9,398.24,79629,739,209
33,10,398.24,170019,1805,157
34,45,428.12,46652,2904,285
34,46,428.12,114619,1478,11
34,47,428.12,172699,1518,35
34,48,428.12,55605,1984,196
34,49,428.12,133174,1587,259
34,50,428.12,120680,2021,184
37,97,287.53,121277,3845,265
37,98,287.53,149352,1898,295
37,99,287.53,192849,949,21
37,100,287.53,74022,284,66
37,101,287.53,60331,865,52
37,102,287.53,137499,2021,100
44,57,260.19,76660,2426,256
44,58,260.19,71060,2485,6
44,59,260.19,109191,2148,289
44,60,260.19,69047,851,304
44,61,260.19,42023,2946,24
44,62,260.19,76771,2536,297
44,63,260.19,120730,2874,204
44,64,260.19,129690,1963,117
48,88,1329.60,190736,1469,227
48,89,1329.60,114186,3435,147
48,90,1329.60,152747,851,185
48,91,1329.60,89837,3937,157
48,92,1329.60,88676,583,105
48,93,1329.60,114231,606,286
50,28,359.37,117887,1413,270
50,29,359.37,153240,3954,146
50,30,359.37,64494,463,181
50,31,359.37,86899,3804,122
50,32,359.37,69906,1387,200
50,33,359.37,158725,1806,213
50,34,359.37,155857,2398,150
52,14,172.23,66710,1214,152
52,15,172.23,173801,395,209
52,16,172.23,40644,2668,227
52,17,172.23,48806,839,100
52,18,172.23,177920,4076,69
52,19,172.23,113511,3958,46
54,2,1328.07,92898,3113,133
54,3,1328.07,76331,763,234
54,4,1328.07,144207,2502,247
54,5,1328.07,25934,779,192
54,6,1328.07,52983,1978,207
54,7,1328.07,144176,4114,252
58,45,301.62,162845,3767,28
58,46,301.62,105120,1088,212
58,47,301.62,113585,3885,19
58,48,301.62,74137,569,172
58,49,301.62,123607,3824,246
58,50,301.62,24979,2925,102
58,51,301.62,190915,2067,150
59,31,317.97,196436,1219,104
59,32,317.97,183429,1218,169
59,33,317.97,184366,1400,233
59,34,317.97,174291,1794,131
59,35,317.97,104406,2362,93
59,36,317.97,111044,4028,85
59,37,317.97,33302,2129,62
59,38,317.97,149376,1628,193
61,30,336.98,194519,356,90
61,31,336.98,74991,2482,285
61,32,336.98,96474,4141,200
61,33,336.98,57887,3942,18
61,34,336.98,142760,3734,116
61,35,336.98,182331,2238,257
66,49,1684.31,167309,2667,193
66,50,1684.31,21175,3275,252
66,51,1684.31,138028,3444,31
66,52,1684.31,43002,3031,51
66,53,1684.31,30451,1654,198
66,54,1684.31,76780,3070,197
71,30,325.71,116690,737,23
71,31,325.71,153841,1598,160
71,32,325.71,32985,1804,241
71,33,325.71,113518,902,100
71,34,325.71,123278,2222,247
71,35,325.71,122547,1130,141
71,36,325.71,106686,1253,266
71,37,325.71,73050,2545,19
72,59,2310.03,139399,851,252
72,60,2310.03,129563,1435,220
72,61,2310.03,153542,3243,178
72,62,2310.03,198290,1763,299
72,63,2310.03,69987,3682,161
72,64,2310.03,181507,1424,256
74,39,196.22,93053,3417,246
74,40,196.22,25725,3269,227
74,41,196.22,80925,583,144
74,42,196.22,153642,3740,64
74,43,196.22,40388,2825,287
74,44,196.22,102126,737,95
74,45,196.22,135915,2584,19
74,46,196.22,133746,2949,167
75,25,167.65,66724,290,105
75,26,167.65,167755,3576,232
75,27,167.65,49395,2794,231
75,28,167.65,174958,2577,121
75,29,167.65,164715,4185,176
75,30,167.65,129714,2735,107
83,66,178.05,167860,1347,296
83,67,178.05,111499,1372,287
83,68,178.05,138965,3185,229
83,69,178.05,175767,3225,60
83,70,178.05,110461,2091,262
83,71,178.05,62265,1840,108
83,72,178.05,128547,250,81
84,7,1904.39,136820,291,55
84,8,1904.39,147674,1161,27
84,9,1904.39,33967,1267,35
84,10,1904.39,49991,3032,17
84,11,1904.39,61678,1589,17
84,12,1904.39,35713,3025,86
84,13,1904.39,198349,372,78
89,1,312.95,161496,2955,30
89,2,312.95,136833,1022,29
89,3,312.95,20933,3423,8
89,4,312.95,158438,1571,127
90,40,1094.40,28759,2420,193
90,41,1094.40,29416,3442,273
90,42,1094.40,167577,3354,150
