label_id,label_name,label_type,hq_country,founded_year
1,Panorama Music Group,major,USA,1978
2,Costa Norte Discos,major,Mexico,1985
3,Aurelia Records,major,Spain,1990
4,Vertigo Sound,major,UK,1972
5,Bedroom Tapes Records,indie,USA,2014
6,Nocturno Discos,indie,Colombia,2016
7,Rooftop Sessions,indie,Argentina,2018
8,Static Field Recordings,indie,Germany,2012
9,Rio Sonoro Label,indie,Brazil,2015
10,Paper Moon Music,indie,Canada,2019
11,Salt & Ember Records,indie,Chile,2017
12,Low Tide Audio,indie,Peru,2020
