track_id,playlist_id,added_week_id,removed_week_id
3,26,96,99
5,8,99,
6,5,61,
7,1,7,11
7,14,98,
8,7,3,8
8,8,2,
8,10,29,32
8,15,8,
8,19,16,19
10,25,90,92
11,11,61,69
14,17,38,42
15,9,9,16
15,10,2,
15,24,17,19
17,27,84,90
18,16,8,
18,24,29,31
19,9,31,
22,7,35,
22,21,10,16
23,23,54,
24,6,19,27
24,9,40,
25,8,22,
26,14,35,42
26,24,101,
27,6,18,
28,7,44,
30,18,94,100
32,18,59,61
32,21,10,
33,12,49,
34,6,88,94
34,8,34,
35,23,28,36
36,7,17,19
36,8,2,3
37,28,27,33
39,3,26,29
39,25,60,
40,18,90,
41,5,76,
41,10,70,72
41,12,78,80
41,16,71,78
43,9,67,
43,21,82,
44,9,9,
45,14,20,
45,25,25,33
45,26,64,69
47,7,16,
48,18,22,26
49,5,70,72
53,10,95,
53,16,81,85
53,23,43,46
54,13,29,35
54,30,45,52
55,15,23,
56,3,36,
56,9,97,99
57,2,21,25
57,6,102,104
58,6,89,90
58,21,66,
58,25,23,30
60,4,56,64
60,18,56,
61,11,50,
63,24,20,22
65,25,74,79
65,27,2,
66,3,36,42
67,4,36,
69,12,51,52
71,4,71,
71,22,11,14
72,8,14,
72,9,2,7
74,17,24,
75,27,27,28
76,5,11,15
76,7,54,56
78,5,92,
81,7,78,84
83,4,76,82
83,23,85,91
85,27,47,49
86,18,101,102
86,23,59,66
87,12,86,89
90,19,79,
93,14,18,24
95,9,104,
95,20,35,37
96,2,95,96
96,3,44,
96,14,34,41
98,16,40,
99,23,44,49
100,22,84,
101,19,14,
101,23,90,94
103,8,38,45
103,21,65,
104,24,95,
106,20,22,27
106,28,46,53
107,24,59,
107,28,76,83
108,21,10,
109,10,104,
109,17,9,14
110,2,81,
111,3,3,6
112,19,69,
114,2,78,
114,28,86,
115,8,63,66
116,3,103,104
116,20,67,75
118,17,82,90
119,19,85,88
120,10,28,
120,15,9,13
125,30,39,
127,12,51,59
128,24,20,21
129,9,48,
131,15,24,27
131,30,41,47
132,8,81,86
132,9,43,
132,13,51,54
132,26,7,14
135,12,67,
139,7,74,
139,11,22,25
139,27,50,
140,11,19,25
140,13,92,
140,14,44,
140,21,94,
142,14,44,49
142,24,55,
142,29,73,76
143,6,37,
144,5,86,
144,13,86,88
145,4,9,17
146,16,8,12
146,17,2,
147,8,54,61
149,8,17,
150,5,64,68
150,18,97,
150,19,44,
151,21,4,6
152,1,71,76
152,22,9,
153,9,8,
154,2,54,56
155,29,37,
156,7,33,38
156,19,21,26
156,20,50,55
156,23,11,
160,4,61,69
160,9,80,81
160,26,80,85
161,10,47,50
162,5,84,
162,10,3,8
162,21,8,
164,2,2,6
164,11,29,35
165,12,36,42
165,27,60,61
167,22,61,
169,30,78,81
171,3,49,54
171,26,79,
172,23,51,
173,10,93,98
173,16,20,
174,1,49,51
175,22,34,35
175,24,4,
176,3,82,89
176,15,32,35
177,7,42,46
178,23,36,44
179,19,21,
180,10,36,
182,22,5,12
183,16,24,30
184,15,20,
184,28,72,
189,1,49,56
190,18,50,52
191,18,80,84
192,3,77,
192,7,11,15
193,21,72,
193,23,99,104
195,7,21,
196,16,67,
199,3,45,
199,19,98,104
200,13,4,11
202,2,100,104
202,25,52,60
205,6,56,
205,20,14,
205,23,73,
206,29,59,
207,5,37,41
207,22,17,25
208,5,11,19
211,25,32,39
213,23,81,
216,24,101,103
217,6,86,94
218,16,5,12
219,25,103,104
220,3,83,89
221,6,58,66
221,29,47,53
222,24,9,
224,21,38,
225,17,83,87
230,13,52,
230,25,97,103
233,13,47,
233,25,18,25
234,21,90,92
235,14,33,39
235,28,40,46
236,20,21,
237,11,73,
238,14,87,94
239,16,69,75
239,17,84,
239,24,14,18
240,3,99,104
240,17,26,33
242,21,34,37
243,7,30,37
243,12,8,14
243,26,79,83
245,19,61,
246,11,61,
247,10,100,
247,14,33,39
248,23,29,34
250,1,90,95
250,26,95,99
252,19,14,
254,5,39,44
254,15,20,23
254,22,70,
255,6,96,99
255,13,27,
255,24,72,75
255,25,85,
256,15,8,9
256,26,46,
257,2,26,30
257,11,26,
257,22,6,10
258,4,30,
258,19,47,55
258,27,92,95
259,22,61,
259,24,57,62
260,26,26,33
260,27,63,68
261,21,44,
261,29,94,
264,8,74,81
264,13,59,66
264,29,1,9
266,20,68,70
267,3,95,98
267,12,6,12
267,14,30,38
268,16,15,21
268,30,70,76
269,8,60,63
270,10,40,
270,14,79,83
271,10,92,96
271,15,85,
272,4,70,72
273,16,9,11
273,25,52,59
273,27,26,30
274,8,10,
275,12,21,24
276,4,96,
276,15,90,
276,16,43,51
278,3,38,
278,21,41,49
280,23,17,25
281,20,53,
284,18,90,91
284,21,10,12
285,7,25,32
286,18,66,
287,15,36,38
287,26,97,99
288,14,53,
288,18,33,39
289,5,54,
289,20,51,
291,12,81,83
295,1,100,103
295,2,2,6
296,7,34,35
296,18,12,13
296,28,13,
298,8,81,
305,5,95,101
307,16,93,99
312,4,11,12
314,11,103,104
315,3,22,
315,25,96,102
316,19,16,
317,27,95,103
318,15,100,104
318,28,54,57
321,1,79,86
321,5,22,
321,10,79,85
321,29,52,
321,30,28,
322,19,55,
322,20,91,92
323,12,16,19
325,1,16,18
325,23,1,
328,5,73,
329,4,27,32
330,17,45,49
331,9,82,84
332,9,33,38
332,13,66,73
335,2,80,
335,4,14,18
335,20,104,104
336,5,17,24
336,10,32,
336,12,12,19
336,21,69,
337,23,11,18
338,5,35,36
338,7,6,10
338,30,46,48
339,5,54,61
339,28,12,
341,2,102,104
341,29,78,86
343,4,5,13
344,27,71,
345,11,25,32
346,8,18,
346,18,8,14
346,29,68,73
347,3,85,
347,8,10,16
348,1,47,54
348,22,52,54
348,29,22,
349,20,55,
351,3,18,23
351,4,2,
351,17,5,10
352,4,17,
353,14,52,53
353,21,6,14
354,9,61,62
355,2,101,104
355,10,98,
355,11,74,78
358,2,68,75
358,15,20,
359,1,91,95
363,6,83,
364,6,46,
364,26,74,82
366,15,52,
367,5,64,69
368,1,23,
369,21,49,54
370,4,78,
370,19,95,100
370,23,99,100
372,26,73,
375,8,104,
376,28,87,88
378,18,12,19
378,25,46,51
379,29,55,61
380,2,54,
380,4,23,
381,12,75,
381,28,68,
382,17,83,88
382,30,56,63
384,24,47,52
385,19,59,66
385,24,10,11
385,26,65,66
385,29,36,41
386,2,79,
386,5,28,31
386,14,100,
386,15,18,
386,25,16,
388,16,76,84
388,25,19,21
389,17,56,
390,17,48,
390,30,104,
391,3,61,
391,15,73,80
391,28,60,61
392,10,75,82
392,25,13,
394,21,17,25
395,14,68,76
397,17,34,
399,18,79,84
400,9,74,78
400,18,44,
401,8,58,
401,13,97,
402,4,30,
402,7,64,72
403,10,104,104
404,15,100,104
404,17,4,12
404,29,76,84
405,26,28,36
405,27,64,
406,9,83,
408,4,35,41
408,9,83,85
408,18,47,51
408,28,38,40
412,6,26,32
413,16,38,
417,14,71,
419,29,17,21
421,9,51,
422,13,100,101
424,10,41,
424,27,40,47
429,4,91,96
430,12,51,55
430,26,46,53
432,3,31,39
432,24,83,91
433,8,103,
434,21,13,14
435,3,44,45
435,10,55,
435,24,11,
435,25,1,5
436,1,40,41
437,1,85,
437,10,52,
437,29,52,58
438,28,72,
439,2,54,
440,25,36,
441,24,54,60
442,18,4,
442,28,11,12
443,22,44,51
443,23,66,74
444,12,28,
444,29,36,
446,11,82,85
446,29,69,74
447,7,8,9
447,9,95,
451,21,38,44
454,1,31,35
455,29,68,
456,4,44,47
456,5,22,27
