track_id,dsp_id,available_date
1,1,2022-07-15
1,2,2022-07-15
1,3,2022-07-15
1,4,2022-07-15
1,5,2022-07-15
1,6,2022-07-15
1,7,2022-07-15
2,1,2024-12-26
2,2,2024-12-26
2,4,2024-12-26
2,5,2024-12-26
2,6,2024-12-26
2,7,2024-12-26
3,1,2025-11-18
3,2,2025-11-18
3,3,2025-11-18
3,5,2025-11-18
3,7,2025-11-18
4,1,2023-01-03
4,2,2023-01-03
4,3,2023-01-03
4,5,2023-01-03
4,6,2023-01-03
4,7,2023-01-03
5,1,2023-10-09
5,2,2023-10-09
5,3,2023-10-09
5,4,2023-10-09
5,5,2023-10-09
5,7,2023-10-09
6,1,2025-08-07
6,3,2025-08-07
6,4,2025-08-07
6,5,2025-08-07
6,6,2025-08-07
6,7,2025-08-07
7,1,2025-03-28
7,2,2025-03-28
7,3,2025-03-28
7,4,2025-03-28
7,5,2025-03-28
7,6,2025-03-28
8,1,2022-11-19
8,2,2022-11-19
8,3,2022-11-19
8,6,2022-11-19
8,7,2022-11-19
9,1,2022-11-19
9,2,2022-11-19
9,3,2022-11-19
9,4,2022-11-19
9,5,2022-11-19
9,6,2022-11-19
9,7,2022-11-19
10,1,2022-11-19
10,5,2022-11-19
10,6,2022-11-19
10,7,2022-11-19
11,1,2022-11-19
11,2,2022-11-19
11,3,2022-11-19
11,5,2022-11-19
11,6,2022-11-19
11,7,2022-11-19
12,1,2022-11-19
12,3,2022-11-19
12,4,2022-11-19
12,5,2022-11-19
12,6,2022-11-19
12,7,2022-11-19
13,1,2022-01-18
13,2,2022-01-18
13,3,2022-01-18
13,4,2022-01-18
13,5,2022-01-18
13,6,2022-01-18
13,7,2022-01-18
14,1,2022-01-18
14,2,2022-01-18
14,3,2022-01-18
14,4,2022-01-18
14,5,2022-01-18
14,6,2022-01-18
14,7,2022-01-18
15,1,2022-01-18
15,2,2022-01-18
15,3,2022-01-18
15,5,2022-01-18
15,6,2022-01-18
15,7,2022-01-18
16,1,2023-11-03
16,2,2023-11-03
