track_id,territory_id,rnk
1,2,1
1,9,3
1,18,2
2,1,3
2,2,1
2,7,2
3,2,1
3,11,2
3,20,3
4,2,1
4,16,2
4,19,3
5,3,1
5,6,2
5,17,3
6,3,1
6,15,3
6,19,2
7,3,1
7,14,3
7,20,2
8,3,1
8,7,3
8,16,2
9,3,1
9,5,3
9,11,2
10,3,1
10,12,3
10,13,2
11,3,1
11,11,3
11,18,2
12,3,1
12,5,2
12,12,3
13,1,3
13,3,1
13,20,2
14,3,1
14,11,2
14,13,3
15,3,1
15,10,2
15,13,3
16,4,1
16,14,2
16,17,3
17,4,1
17,12,2
17,16,3
18,4,1
18,9,3
18,16,2
19,4,1
19,5,3
19,15,2
20,4,1
20,5,3
20,17,2
21,3,3
21,4,1
21,10,2
22,1,2
22,4,1
22,18,3
23,2,3
23,4,1
23,11,2
24,4,1
24,14,2
24,15,3
25,3,2
25,4,1
25,19,3
26,4,1
26,7,2
26,9,3
27,4,1
27,5,3
27,12,2
28,2,2
28,4,1
28,11,3
29,4,1
29,10,2
29,12,3
30,4,1
30,9,3
30,17,2
31,4,1
31,12,2
31,15,3
32,4,1
32,8,3
32,14,2
33,4,1
33,12,3
33,15,2
34,1,3
34,4,1
34,17,2
35,4,1
35,6,3
35,9,2
36,2,2
36,4,1
36,20,3
37,4,1
37,6,2
37,16,3
38,4,1
38,13,3
38,20,2
39,4,1
39,9,2
39,19,3
40,5,1
40,8,3
40,16,2
41,3,2
41,5,1
41,7,3
42,2,3
42,5,1
42,9,2
43,3,3
43,5,1
43,11,2
44,3,3
44,5,1
44,19,2
45,5,1
45,6,3
45,18,2
46,5,1
46,15,2
46,20,3
47,5,1
47,8,3
47,16,2
48,5,1
48,7,2
48,18,3
49,2,3
49,6,1
49,20,2
50,6,1
50,16,3
50,18,2
51,2,2
51,6,1
51,14,3
52,6,1
52,10,2
52,14,3
53,6,1
53,10,2
53,12,3
54,6,1
54,11,2
54,13,3
55,3,2
55,4,3
55,6,1
56,6,1
56,9,2
56,20,3
57,6,1
57,9,2
57,12,3
58,6,1
58,8,2
58,12,3
59,6,1
59,15,2
59,16,3
60,6,1
60,12,3
60,14,2
61,2,3
61,6,1
61,17,2
62,3,2
62,6,1
62,18,3
63,6,1
63,7,2
63,20,3
64,6,1
64,7,2
64,12,3
65,5,2
65,6,1
65,15,3
66,6,1
66,17,3
66,20,2
67,6,1
67,16,2
67,20,3
68,6,1
68,7,3
68,20,2
69,6,1
69,16,2
69,18,3
70,1,3
70,6,1
70,15,2
71,3,3
71,6,1
71,12,2
72,7,1
72,18,2
72,20,3
73,7,1
73,9,3
73,16,2
74,6,2
74,7,1
74,9,3
75,4,2
75,7,1
75,16,3
76,7,1
76,12,3
76,15,2
77,7,1
77,18,2
77,19,3
78,7,1
78,8,2
78,13,3
79,2,2
79,7,1
79,9,3
80,7,1
80,11,2
80,17,3
81,3,3
81,6,2
81,7,1
82,7,1
82,11,2
82,20,3
83,6,3
83,7,1
83,10,2
84,2,2
84,3,3
84,7,1
85,7,1
85,10,3
85,19,2
86,7,1
86,9,2
86,16,3
87,4,3
87,7,1
87,13,2
88,7,1
88,12,2
88,13,3
89,3,2
89,7,1
89,9,3
90,3,2
90,7,1
90,17,3
91,5,2
91,7,1
91,20,3
92,7,1
92,9,2
92,10,3
93,5,2
93,7,1
93,11,3
94,5,2
94,7,1
94,19,3
95,7,1
95,18,2
95,19,3
96,6,2
96,7,1
96,10,3
97,7,1
97,14,3
97,17,2
98,8,1
98,14,3
98,17,2
99,4,3
99,6,2
99,8,1
100,8,1
100,9,2
100,13,3
101,4,2
101,8,1
101,14,3
102,8,1
102,13,2
102,15,3
103,4,2
103,8,1
103,18,3
104,7,2
104,8,1
104,14,3
105,4,2
105,8,1
105,15,3
106,8,1
106,16,2
106,19,3
107,3,3
107,7,2
107,8,1
108,7,3
108,8,1
108,20,2
109,6,3
109,8,1
109,10,2
110,2,2
110,7,3
110,8,1
111,8,1
111,9,3
111,10,2
112,6,2
112,8,1
112,9,3
113,6,2
113,8,1
113,9,3
114,8,1
114,12,3
114,19,2
115,1,2
115,5,3
115,8,1
116,8,1
116,15,3
116,20,2
117,4,2
117,8,1
117,18,3
118,8,1
118,12,3
118,13,2
119,5,3
119,8,1
119,9,2
120,2,2
120,8,1
120,20,3
121,3,3
121,7,2
121,8,1
122,5,2
122,8,1
122,9,3
123,8,1
123,14,3
123,20,2
124,1,2
124,9,1
