track_id,release_id,track_title,track_number,duration_sec,isrc,is_explicit
1,1,Amber Phantoms,1,218,SIM00000101,0
2,2,Golden Sirens,1,254,SIM00000201,0
3,3,Restless Horizon,1,210,SIM00000301,0
4,4,Hollow Hearts,1,231,SIM00000401,0
5,5,Silver Shadows,1,190,SIM00000501,0
6,6,Sunken Riot,1,196,SIM00000601,0
7,7,Static Vultures,1,189,SIM00000701,0
8,8,Crimson Vibes,1,247,SIM00000801,0
9,8,Static Vultures,2,211,SIM00000802,0
10,8,Sunken Riot,3,197,SIM00000803,1
11,8,Silver Shadows,4,265,SIM00000804,0
12,8,Hollow Hearts,5,228,SIM00000805,0
13,9,Sacred Tides,1,252,SIM00000901,0
14,9,Crimson Vibes,2,196,SIM00000902,0
15,9,Static Vultures,3,221,SIM00000903,0
16,10,Solar Youth,1,260,SIM00001001,0
17,11,Neon Ghosts,1,155,SIM00001101,0
18,12,Glass Waves,1,215,SIM00001201,1
19,12,Neon Ghosts,2,262,SIM00001202,0
20,12,Solar Youth,3,256,SIM00001203,0
21,13,Lonely Wolves,1,199,SIM00001301,0
22,13,Glass Waves,2,258,SIM00001302,1
23,13,Neon Ghosts,3,196,SIM00001303,0
24,13,Solar Youth,4,188,SIM00001304,0
25,14,Velvet Roses,1,211,SIM00001401,0
26,14,Lonely Wolves,2,255,SIM00001402,0
27,14,Glass Waves,3,164,SIM00001403,0
28,14,Neon Ghosts,4,199,SIM00001404,0
29,14,Solar Youth,5,237,SIM00001405,0
30,15,Paper Rebels,1,171,SIM00001501,0
31,15,Velvet Roses,2,244,SIM00001502,0
32,15,Lonely Wolves,3,187,SIM00001503,0
33,15,Glass Waves,4,249,SIM00001504,0
34,15,Neon Ghosts,5,257,SIM00001505,1
35,15,Solar Youth,6,212,SIM00001506,0
36,15,Sacred Tides,7,256,SIM00001507,0
37,15,Crimson Vibes,8,171,SIM00001508,0
38,15,Static Vultures,9,192,SIM00001509,0
39,15,Sunken Riot,10,174,SIM00001510,0
40,16,Wild Ravens,1,235,SIM00001601,0
41,17,Electric Bones,1,225,SIM00001701,0
42,17,Wild Ravens,2,215,SIM00001702,0
43,17,Paper Rebels,3,241,SIM00001703,0
44,17,Velvet Roses,4,209,SIM00001704,0
45,17,Lonely Wolves,5,224,SIM00001705,0
46,18,Iron Saints,1,193,SIM00001801,0
47,18,Electric Bones,2,179,SIM00001802,0
48,18,Wild Ravens,3,193,SIM00001803,0
49,19,Broken Echoes,1,234,SIM00001901,0
50,19,Iron Saints,2,158,SIM00001902,1
51,19,Electric Bones,3,267,SIM00001903,0
52,19,Wild Ravens,4,266,SIM00001904,0
53,20,Midnight Foxes,1,223,SIM00002001,0
54,20,Broken Echoes,2,257,SIM00002002,0
55,20,Iron Saints,3,206,SIM00002003,0
56,20,Electric Bones,4,259,SIM00002004,0
57,20,Wild Ravens,5,161,SIM00002005,0
58,21,Amber Phantoms,1,216,SIM00002101,1
59,21,Midnight Foxes,2,240,SIM00002102,0
60,21,Broken Echoes,3,184,SIM00002103,0
61,22,Golden Sirens,1,239,SIM00002201,0
62,22,Amber Phantoms,2,210,SIM00002202,0
63,22,Midnight Foxes,3,261,SIM00002203,0
64,22,Broken Echoes,4,155,SIM00002204,0
65,22,Iron Saints,5,204,SIM00002205,0
66,22,Electric Bones,6,187,SIM00002206,0
67,22,Wild Ravens,7,254,SIM00002207,0
68,22,Paper Rebels,8,236,SIM00002208,0
69,22,Velvet Roses,9,245,SIM00002209,0
70,22,Lonely Wolves,10,233,SIM00002210,0
71,22,Glass Waves,11,152,SIM00002211,0
72,23,Restless Horizon,1,163,SIM00002301,0
73,23,Golden Sirens,2,263,SIM00002302,0
74,23,Amber Phantoms,3,264,SIM00002303,0
75,23,Midnight Foxes,4,218,SIM00002304,1
76,23,Broken Echoes,5,184,SIM00002305,0
77,24,Hollow Hearts,1,189,SIM00002401,0
78,24,Restless Horizon,2,238,SIM00002402,0
79,24,Golden Sirens,3,156,SIM00002403,0
80,25,Silver Shadows,1,187,SIM00002501,0
81,25,Hollow Hearts,2,215,SIM00002502,0
